Age,Gender,EducationBackground,MaritalStatus,EmpDepartment,EmpJobRole,BusinessTravelFrequency,DistanceFromHome,EmpEducationLevel,EmpEnvironmentSatisfaction,EmpHourlyRate,EmpJobInvolvement,EmpJobLevel,EmpJobSatisfaction,NumCompaniesWorked,OverTime,EmpLastSalaryHikePercent,EmpRelationshipSatisfaction,TotalWorkExperienceInYears,TrainingTimesLastYear,EmpWorkLifeBalance,ExperienceYearsAtThisCompany,ExperienceYearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition,PerformanceRating
32,1,3,1,5,18,2,10,3,4,55,3,2,4,1,1,12,4,10,2,2,10,7,0,8,1,3
47,1,3,1,5,18,2,14,4,4,42,3,2,1,2,1,12,4,20,2,3,7,7,1,7,1,3
40,1,5,2,5,18,1,5,4,4,48,2,3,1,5,0,21,3,20,2,3,18,13,1,12,1,4
41,1,0,0,2,11,2,10,4,2,73,2,5,4,3,1,15,2,23,2,2,21,6,12,6,1,3
60,1,3,1,5,18,2,16,4,1,84,3,2,1,8,1,14,4,10,1,3,2,2,2,2,1,3
27,1,5,0,4,17,1,10,2,4,32,3,3,1,1,1,21,3,9,4,2,9,7,1,7,1,4
50,1,3,2,5,14,2,8,4,4,54,3,1,2,7,1,15,4,4,2,3,2,2,2,2,1,3
28,0,5,1,4,17,2,1,2,1,67,1,1,2,7,0,13,4,10,4,3,7,7,3,7,0,3
36,0,5,2,4,17,0,8,3,1,63,4,3,1,9,1,14,1,10,2,3,8,7,0,5,1,3
38,0,5,1,4,17,2,1,3,3,81,3,3,3,4,0,14,4,10,4,4,1,0,0,0,1,3
44,1,4,1,4,17,0,24,3,1,49,1,1,3,2,1,14,3,9,5,3,5,2,1,4,1,3
47,0,4,0,5,18,1,3,3,4,49,3,4,3,9,0,12,4,28,2,2,22,2,11,13,1,3
30,1,3,0,5,18,2,27,5,3,99,3,2,4,7,1,23,4,10,2,2,8,7,7,7,1,4
29,1,5,1,5,14,2,10,3,3,99,3,1,3,1,1,11,3,1,6,3,1,0,0,0,1,3
42,1,4,0,4,17,1,19,3,3,57,4,1,3,6,0,12,4,7,2,3,2,2,2,2,0,3
34,0,4,1,4,17,2,8,2,2,96,3,2,3,3,1,11,4,10,2,3,5,1,4,3,1,3
39,0,0,2,2,9,2,3,3,3,44,4,2,2,9,1,15,3,12,3,1,8,3,3,6,1,3
56,1,4,2,4,17,2,9,3,3,81,3,4,4,7,1,11,3,30,1,2,10,7,1,1,1,3
40,0,4,1,4,17,2,2,1,4,86,2,1,4,0,0,20,4,5,2,2,4,2,2,3,1,4
27,0,4,1,4,17,2,7,3,4,55,2,2,1,8,1,19,1,9,2,1,7,6,0,7,1,3
29,1,3,0,5,14,2,10,3,4,83,3,1,2,1,1,14,4,2,2,3,2,2,2,2,1,3
53,1,5,1,4,17,2,6,3,4,86,3,2,4,2,1,17,4,19,4,3,2,2,2,2,1,3
35,0,5,0,4,12,0,2,4,4,61,3,2,1,2,1,11,1,16,2,4,1,0,0,0,1,3
32,1,5,2,4,17,1,24,4,1,80,3,2,4,1,1,15,4,10,2,3,10,8,4,7,1,3
34,0,5,0,4,17,2,8,5,2,32,3,2,1,3,1,14,3,7,3,3,0,0,0,0,1,3
52,1,3,2,5,11,2,3,4,3,31,2,4,1,1,1,11,1,34,3,4,34,6,1,16,1,4
33,1,1,1,4,17,2,1,4,4,63,3,1,4,1,0,13,3,10,2,2,10,9,7,8,0,3
25,0,4,1,5,18,2,26,1,3,32,3,2,4,1,1,23,2,6,5,2,6,5,1,4,1,4
45,1,2,1,5,14,2,2,2,2,46,1,2,3,0,1,13,1,9,3,3,8,7,3,1,1,3
23,1,4,1,4,17,2,10,1,1,79,4,1,3,1,1,18,4,2,3,3,2,2,0,2,1,3
47,0,5,1,5,18,1,27,2,2,77,4,2,3,4,0,12,4,8,2,3,5,4,1,3,0,3
34,1,1,1,5,18,2,2,3,4,60,3,2,4,1,1,22,3,6,5,3,6,5,1,4,1,4
36,1,5,1,5,18,0,8,4,1,76,2,3,1,1,1,15,2,10,1,3,10,7,0,9,1,3
52,1,4,2,4,17,0,19,4,4,41,3,1,4,0,1,18,1,5,3,3,4,3,1,2,1,3
26,0,5,0,4,17,1,1,2,1,71,1,1,4,3,1,14,1,5,2,3,2,2,2,0,1,3
29,0,4,2,4,17,2,27,3,2,66,3,2,3,4,1,12,1,11,3,2,8,7,1,1,1,3
26,1,2,1,5,18,2,8,3,4,38,2,2,1,6,1,17,3,6,2,2,4,3,1,2,0,3
34,0,5,1,4,17,2,1,4,2,72,4,1,4,2,1,16,3,10,2,3,4,2,1,3,1,3
54,0,4,0,4,17,2,19,4,4,95,3,2,1,9,0,11,2,9,4,3,5,3,1,4,1,3
27,1,3,2,5,18,1,8,1,3,84,3,2,4,0,1,19,2,5,3,3,4,2,1,1,1,3
37,0,5,0,4,17,2,10,1,4,82,3,1,1,0,0,13,2,6,3,2,5,3,4,3,1,3
38,0,5,1,4,17,1,2,4,1,75,4,2,1,6,0,12,4,17,2,3,15,7,4,12,1,3
34,0,4,1,4,17,2,2,4,3,86,2,1,1,1,1,11,3,6,3,3,6,5,1,3,1,3
35,0,5,2,5,14,2,8,4,1,72,3,1,4,1,1,16,2,3,1,2,3,2,0,2,1,3
40,0,4,2,4,17,1,2,2,3,38,4,2,2,1,1,24,4,8,2,3,8,7,3,7,1,4
34,0,5,2,5,18,2,8,2,3,93,3,2,1,5,1,17,2,6,1,3,3,2,1,2,1,3
24,1,5,0,4,12,0,9,3,3,60,2,1,2,1,1,11,3,1,4,3,1,0,0,0,1,3
52,0,5,2,4,12,2,11,4,4,82,3,2,3,8,1,20,2,9,3,3,5,2,1,4,1,4
50,1,4,2,4,17,2,2,3,3,64,3,4,3,5,1,16,4,30,3,3,4,3,0,3,1,3
29,0,5,2,4,17,2,1,2,2,36,2,1,1,1,0,11,4,1,1,3,1,0,0,0,0,3
33,1,4,2,4,17,2,7,3,3,49,3,3,3,0,1,11,4,14,3,4,13,9,3,7,1,3
33,0,3,1,5,18,2,16,3,1,69,3,2,1,5,1,15,3,6,3,3,3,2,0,2,0,3
47,0,1,2,4,17,2,2,2,3,33,3,4,4,1,0,11,3,26,3,2,26,14,3,0,1,3
36,0,1,2,4,17,2,1,3,3,35,3,2,2,0,1,15,1,10,2,3,9,7,0,5,1,3
29,1,5,2,4,12,2,23,2,3,81,4,1,3,1,1,24,3,10,3,3,10,7,0,7,1,4
35,0,5,1,4,12,2,1,4,4,40,4,1,3,3,1,13,3,7,0,3,2,2,2,2,1,3
42,0,5,2,4,17,2,1,2,4,43,2,2,4,9,0,13,4,8,4,3,4,3,0,2,1,3
28,1,4,1,4,17,2,2,4,3,46,3,1,3,6,1,17,4,5,3,2,2,2,2,1,0,3
36,1,0,2,2,9,2,13,3,3,36,3,1,2,4,1,13,2,8,2,3,5,2,0,4,1,3
40,1,4,1,4,17,1,16,4,1,51,2,2,3,6,1,14,4,10,6,3,1,0,0,0,1,3
30,0,4,1,4,17,2,2,3,3,52,2,2,4,5,0,24,2,12,4,2,0,0,0,0,1,4
45,0,5,1,4,17,2,2,3,2,95,2,1,3,1,1,14,4,1,3,3,1,0,0,0,1,3
42,1,5,2,4,17,2,29,3,2,98,3,2,2,1,1,13,4,10,3,2,9,8,7,8,1,3
38,1,5,0,4,17,1,12,3,1,45,2,2,1,2,1,15,3,13,3,2,4,3,1,2,1,3
49,0,3,2,5,18,2,11,3,3,43,3,3,4,1,1,18,1,9,3,4,9,8,7,7,0,3
55,1,4,1,5,18,2,2,1,3,37,3,2,4,4,1,16,3,12,3,2,9,7,7,3,0,3
43,1,5,2,4,17,2,14,2,2,94,3,4,1,6,1,24,3,22,3,3,4,1,1,0,1,3
27,1,2,0,4,17,2,5,1,3,42,2,3,4,1,0,16,2,9,3,3,9,8,0,8,1,3
35,1,1,1,4,17,2,7,3,3,59,3,3,3,3,1,21,2,17,3,4,8,5,1,6,1,4
28,0,3,2,5,18,2,2,4,2,81,3,2,2,1,0,20,1,8,2,3,8,7,7,5,1,3
26,0,4,2,4,17,1,5,2,3,88,2,1,3,1,0,14,1,8,2,3,8,7,1,7,0,3
27,1,4,2,4,17,0,3,3,4,50,3,1,4,1,1,11,3,0,6,2,0,0,0,0,1,3
51,0,3,2,5,11,2,26,4,1,66,3,4,3,2,1,14,3,29,2,2,20,6,4,17,1,3
44,1,4,1,4,17,2,4,3,4,50,3,2,2,9,1,12,4,10,2,2,5,2,2,3,1,3
25,1,4,1,4,17,2,2,1,1,65,4,1,1,7,1,13,3,6,3,2,4,3,0,1,1,3
35,0,4,1,4,12,2,27,1,3,53,2,1,1,1,1,11,4,6,3,2,6,5,1,1,1,3
36,1,5,2,5,18,2,1,2,2,56,3,2,4,1,0,14,4,18,1,2,18,14,4,11,1,3
53,0,3,2,5,18,2,7,2,1,78,2,3,4,7,0,18,4,35,3,3,5,2,0,4,1,3
45,1,3,0,5,18,2,9,3,4,74,3,3,1,4,0,12,3,18,2,3,5,4,0,2,1,3
32,0,4,2,4,17,2,8,2,3,91,4,2,3,5,1,12,3,9,3,2,5,3,1,3,1,3
37,1,3,0,5,18,2,16,4,4,66,2,2,3,4,1,19,4,9,2,3,1,0,0,0,1,3
28,1,4,0,2,9,2,8,2,2,63,2,1,4,1,1,13,4,6,6,3,5,1,0,4,1,3
22,1,5,2,4,12,2,1,2,4,33,2,2,4,6,1,22,1,4,2,1,2,2,2,2,1,3
44,1,5,2,4,17,2,8,4,1,62,4,1,4,2,0,24,3,10,2,2,3,2,0,2,1,3
42,1,4,1,4,12,1,2,1,2,35,3,1,4,5,0,14,4,8,2,3,2,1,2,2,1,3
36,1,5,2,2,9,2,8,3,1,77,2,1,1,0,1,21,3,6,3,3,5,4,0,3,1,3
25,1,1,2,5,18,2,3,1,3,98,3,2,1,1,0,18,4,5,3,3,5,3,0,3,1,3
35,0,5,0,4,17,1,25,4,4,96,3,1,2,1,0,19,1,10,3,2,10,2,7,8,0,3
32,1,5,0,4,17,0,1,3,4,61,3,1,4,0,1,12,2,4,2,3,3,0,0,2,1,3
49,0,2,2,0,5,2,1,3,3,36,3,1,1,2,1,16,2,7,2,3,4,2,0,2,1,3
24,1,5,2,4,12,0,4,1,1,46,2,1,4,0,1,17,4,6,2,2,5,2,3,4,1,3
32,1,5,2,5,18,1,5,2,2,48,3,2,2,1,1,14,4,10,3,3,10,8,5,3,1,3
38,1,3,2,5,14,2,9,3,2,98,2,1,2,0,1,19,4,3,3,3,2,2,1,2,1,3
31,1,5,2,4,12,2,11,4,4,48,3,1,4,3,0,19,2,8,2,3,6,4,0,2,1,3
53,1,3,2,5,18,2,8,3,1,73,3,4,4,5,1,14,3,28,3,3,2,0,2,2,1,3
37,0,4,2,5,14,1,21,2,3,54,3,1,4,5,1,15,2,10,3,3,5,4,0,0,1,3
53,0,5,1,4,17,2,23,4,4,72,3,4,4,6,1,18,3,33,0,3,12,9,3,8,1,3
43,0,5,2,4,17,1,1,3,4,33,3,2,4,4,1,13,2,12,2,2,5,2,2,2,1,3
47,0,3,2,5,18,2,2,2,3,35,3,2,4,0,0,22,1,8,2,3,7,6,7,7,1,4
37,1,4,1,5,18,0,19,2,1,32,3,3,2,1,0,13,4,10,2,3,10,0,0,9,1,3
50,1,5,0,4,17,0,2,4,1,98,3,4,1,1,1,11,4,31,3,3,31,6,14,7,1,3
39,0,5,2,2,9,2,2,3,4,42,2,2,4,8,1,11,3,13,2,3,5,4,0,4,1,3
33,1,0,0,2,9,2,3,2,4,57,3,1,2,3,0,11,3,7,4,4,4,3,0,3,1,3
32,1,5,1,4,17,2,25,4,1,87,3,1,4,1,0,24,3,1,2,1,1,0,0,1,0,3
44,1,5,2,4,17,2,9,2,2,61,3,1,1,1,0,13,4,8,0,3,8,7,7,1,1,3
58,1,5,0,4,17,1,2,1,4,57,2,1,4,9,0,14,4,3,3,2,1,0,0,0,0,3
20,0,4,1,5,14,2,2,3,3,49,2,1,3,1,1,13,4,2,3,2,2,2,0,2,0,3
21,0,1,1,0,5,2,18,1,4,65,3,1,4,1,1,19,1,1,3,2,1,0,0,0,0,3
36,1,5,2,0,5,2,14,1,3,68,3,2,4,0,0,17,1,17,2,2,16,8,4,11,1,3
47,0,5,1,5,14,2,2,4,4,65,2,1,4,1,0,18,1,3,3,2,3,2,1,2,1,3
22,0,5,2,4,17,2,3,1,2,34,3,2,3,0,0,19,1,4,3,4,3,2,0,2,0,3
28,0,4,0,4,17,2,9,3,3,77,3,1,3,5,1,18,2,6,2,3,2,2,2,2,1,3
39,1,4,2,4,12,2,6,3,4,70,3,1,1,7,0,21,4,8,2,1,2,2,2,2,0,3
27,0,5,1,4,17,2,4,3,2,76,3,1,3,1,1,19,3,1,2,3,1,1,0,0,1,3
34,1,5,0,4,17,2,10,3,2,83,3,1,2,1,1,14,2,1,3,3,1,0,1,0,1,3
42,0,4,1,5,18,2,14,2,3,68,2,2,3,7,1,17,1,10,6,3,5,4,0,3,1,3
33,1,1,1,4,12,2,1,4,3,100,2,1,1,3,0,11,2,6,1,3,3,2,0,2,1,3
58,0,2,0,4,12,2,5,3,3,37,2,3,2,2,0,13,4,24,3,3,6,0,0,4,1,3
31,1,5,2,5,14,2,7,4,2,41,2,1,3,3,1,15,2,13,2,4,7,7,5,2,1,3
35,0,5,2,4,12,2,21,1,4,51,3,2,4,1,0,25,4,10,2,1,10,6,0,7,1,3
48,1,4,2,0,5,2,20,4,4,51,3,1,3,4,1,17,1,13,2,2,0,0,0,0,1,3
31,0,3,2,5,18,0,20,2,4,45,3,2,3,1,1,13,4,9,2,2,9,8,0,0,1,3
36,1,1,1,4,17,2,7,4,2,65,3,1,4,2,1,18,3,8,6,3,6,2,0,1,1,3
38,0,2,2,4,12,2,1,3,4,80,3,3,1,1,1,13,2,15,3,3,15,12,5,11,1,3
32,0,5,2,4,12,0,1,3,3,70,2,1,2,6,1,20,3,5,3,3,3,0,0,2,1,4
25,1,3,2,5,14,2,19,2,3,36,2,1,2,1,0,18,3,1,2,3,1,0,0,0,0,3
41,1,4,1,4,17,2,6,3,4,59,3,1,1,2,0,13,3,20,3,3,18,13,2,17,1,3
36,1,4,1,4,17,2,2,4,3,79,3,1,3,4,1,21,3,16,6,3,11,8,3,9,1,4
19,1,1,1,5,14,2,21,3,4,37,2,1,2,1,0,13,2,1,3,4,1,0,0,0,0,3
20,1,2,1,4,17,2,4,3,1,84,3,1,1,1,1,19,2,1,2,3,1,0,0,0,0,3
31,0,4,2,4,17,2,12,3,4,41,3,2,4,0,0,11,3,10,2,1,9,7,8,5,1,3
36,1,5,2,5,18,2,3,1,3,51,2,3,4,1,0,11,1,16,6,3,16,7,3,7,0,3
37,1,5,2,5,18,2,1,4,1,46,2,3,3,5,1,11,3,17,2,1,14,1,11,7,0,2
45,1,5,2,4,17,0,4,2,3,57,3,2,2,1,1,12,2,9,5,2,9,7,0,8,1,3
29,0,2,2,5,14,1,20,3,3,84,3,1,4,1,1,15,2,3,5,3,3,1,0,2,1,3
35,0,4,2,5,18,2,18,3,3,86,3,2,3,1,1,16,2,5,3,3,5,2,1,0,1,3
52,1,5,2,4,12,2,1,2,4,70,3,4,4,2,1,15,2,26,2,2,9,8,7,8,1,3
53,1,4,0,5,11,2,2,2,3,45,3,4,3,6,1,13,3,22,3,4,17,13,15,2,1,3
30,1,1,0,5,18,2,8,2,3,62,3,3,3,5,1,11,1,10,2,4,8,4,7,7,1,3
35,1,5,0,5,18,2,3,4,4,92,3,3,4,6,1,13,2,12,2,3,10,9,0,8,1,3
39,1,5,1,5,18,2,2,5,1,41,4,3,3,0,1,18,4,9,3,3,8,7,0,7,1,3
40,0,5,1,5,18,0,24,3,2,100,4,4,2,4,0,16,4,22,2,2,1,0,0,0,0,3
47,1,4,0,4,12,1,16,4,3,64,4,2,3,1,0,19,3,20,3,4,19,10,2,7,1,3
36,1,2,0,5,18,0,8,4,1,84,3,2,4,4,1,13,4,12,3,3,7,7,0,7,1,3
31,1,4,1,4,17,0,9,2,3,46,2,1,1,0,0,22,1,4,0,3,3,2,1,2,0,4
33,1,5,1,5,11,0,17,3,4,38,3,4,3,1,1,11,4,10,2,3,10,8,6,0,1,3
29,0,5,1,4,17,2,10,3,4,92,2,1,1,6,0,20,3,3,5,3,0,0,0,0,0,4
33,0,5,1,4,17,2,13,1,2,53,3,1,4,3,1,18,1,5,4,3,3,2,0,2,1,3
45,0,4,0,4,17,2,1,4,4,91,3,1,4,3,1,14,4,8,2,3,5,3,0,2,1,3
50,1,4,0,4,12,2,1,2,4,66,3,4,4,9,1,22,3,32,1,2,5,4,1,3,1,4
33,0,1,2,4,17,1,1,4,3,84,4,2,2,1,0,13,1,6,2,3,6,5,1,2,1,3
41,1,4,0,4,17,1,9,3,1,64,3,5,3,2,1,17,2,21,2,4,18,16,0,11,1,3
45,1,5,2,4,17,0,23,2,4,42,3,2,1,1,0,15,3,9,2,3,9,8,0,8,1,3
47,0,5,1,5,18,2,4,2,4,83,3,2,4,1,0,17,3,9,0,3,9,0,0,7,1,3
30,0,5,2,4,17,2,22,3,1,48,3,1,3,4,0,11,2,7,2,3,5,2,0,1,0,3
50,1,5,2,4,17,2,24,3,4,95,3,4,3,3,0,18,4,22,2,3,12,11,1,5,1,3
38,1,4,2,3,2,1,10,1,3,66,3,1,3,0,1,17,2,3,0,2,2,1,0,2,1,3
35,1,1,0,3,13,2,14,4,3,39,2,1,2,1,0,24,4,5,2,1,4,2,0,2,0,3
31,0,5,2,3,7,1,1,1,3,96,3,2,1,1,1,12,3,4,1,3,4,3,0,3,1,3
18,1,5,1,3,15,0,5,2,2,73,3,1,4,1,1,15,4,0,2,3,0,0,0,0,1,3
54,0,2,2,3,2,2,17,3,3,56,3,3,3,8,1,11,3,22,2,3,10,7,0,8,1,3
35,0,4,0,3,6,2,25,4,3,57,3,3,3,1,0,11,3,16,3,2,16,10,10,1,1,3
30,0,5,2,3,4,2,8,2,2,73,4,3,1,0,0,12,3,9,4,2,8,7,1,7,1,2
26,1,4,2,3,2,2,2,2,4,32,4,2,4,1,1,12,2,8,2,3,8,7,1,3,1,3
22,1,5,2,3,13,2,8,1,2,94,1,1,1,1,1,15,1,4,3,2,4,3,1,1,1,2
48,1,5,1,3,6,2,6,3,1,97,2,2,3,2,1,13,4,19,0,3,2,2,2,2,1,2
48,1,5,1,3,2,2,4,4,3,78,2,3,3,7,1,14,2,27,3,3,15,11,4,8,1,3
41,0,4,1,3,7,2,7,2,4,42,3,2,3,6,1,14,2,8,6,3,2,2,2,1,1,3
39,0,5,2,3,7,2,1,1,4,65,2,4,4,1,1,16,3,21,3,3,21,6,11,8,1,3
27,0,5,2,3,2,2,2,4,1,47,3,2,4,0,1,18,2,4,2,3,3,2,2,2,1,2
35,1,1,0,3,13,2,10,3,2,45,3,1,4,1,1,20,1,3,4,2,3,2,1,2,1,2
42,1,3,2,5,11,2,5,2,4,90,3,5,3,6,1,13,2,21,3,4,1,0,0,0,1,4
50,1,5,2,3,13,2,9,3,1,64,3,1,4,4,1,18,2,8,5,3,1,0,0,0,1,3
59,0,5,1,3,7,2,2,3,3,69,2,4,4,3,0,13,1,30,4,3,5,3,4,3,1,3
55,1,4,2,3,6,1,18,4,3,62,3,2,2,3,0,14,4,17,3,3,8,7,6,7,1,3
41,0,5,0,3,4,0,7,1,2,55,1,5,3,1,1,22,2,21,3,3,21,16,5,10,1,2
38,1,5,1,5,18,2,3,4,2,42,3,2,4,8,0,12,3,19,1,3,1,0,0,0,1,3
26,1,4,1,5,18,0,29,2,2,79,1,2,1,8,1,18,4,7,6,3,2,2,2,2,0,2
52,0,3,2,5,11,2,2,1,1,57,1,5,4,1,1,15,4,33,3,3,32,14,6,9,0,2
44,0,4,2,5,18,2,28,3,4,53,4,4,4,3,0,18,3,23,2,3,12,11,11,11,1,3
50,0,5,2,5,18,0,1,3,4,95,3,2,3,0,1,12,1,19,3,3,18,7,0,13,1,3
39,0,4,1,3,7,1,22,3,4,82,3,3,1,1,0,13,3,21,2,3,21,6,2,8,1,3
33,0,5,1,5,14,0,8,1,2,88,2,1,4,0,1,19,4,3,2,2,2,2,2,2,1,2
45,0,5,2,5,11,2,11,2,4,90,3,4,4,3,1,13,2,26,4,4,9,3,1,1,1,3
32,0,4,1,3,2,0,29,4,4,69,3,1,3,9,1,12,2,10,2,3,8,7,7,7,1,3
34,1,3,0,5,18,2,1,4,2,75,4,2,4,0,1,11,4,16,2,2,15,1,0,9,1,3
59,1,2,2,5,11,2,1,2,2,66,3,3,4,3,0,14,3,14,1,1,6,4,0,4,1,3
45,1,4,1,2,9,2,24,4,2,36,3,1,2,1,1,16,1,6,3,3,6,3,0,4,1,3
36,1,1,0,3,13,2,15,3,1,81,3,2,3,7,1,14,2,9,3,2,1,0,0,0,0,3
26,1,5,2,3,15,1,2,3,1,57,3,1,1,6,0,14,2,6,2,3,3,2,1,2,0,2
28,1,4,2,5,14,2,10,1,4,74,3,1,2,1,1,22,2,1,5,3,1,0,0,0,1,4
38,1,1,2,3,2,1,3,4,3,44,3,1,3,3,1,16,1,8,2,3,2,2,2,2,1,3
50,1,4,2,3,2,2,2,4,2,62,3,5,3,2,0,11,4,29,2,2,8,1,7,7,1,3
37,0,1,1,3,6,2,3,3,4,35,3,2,2,3,1,15,1,8,3,2,4,3,0,1,1,3
40,1,3,2,5,18,2,26,3,3,74,3,2,1,1,1,14,2,8,3,2,7,7,7,5,1,3
26,0,4,0,3,15,1,1,1,1,66,2,1,3,1,1,13,3,5,5,3,5,3,1,3,1,2
54,0,5,2,5,18,2,2,4,3,41,2,3,3,6,1,11,2,13,4,3,9,4,7,0,1,3
56,0,4,2,3,2,1,9,3,1,63,3,1,3,2,1,19,2,18,4,3,5,4,0,3,1,3
36,0,4,1,3,7,2,12,5,4,51,2,3,4,0,1,11,2,15,2,2,14,8,7,8,1,3
55,1,4,1,3,11,0,2,1,3,40,2,4,1,7,1,15,2,31,3,4,9,7,6,2,1,4
43,1,4,0,5,18,2,25,3,3,79,2,3,4,5,1,13,3,18,5,3,1,0,0,0,1,3
20,0,3,1,5,14,1,9,3,4,54,3,1,4,1,0,14,2,2,3,3,2,2,0,2,0,3
21,0,5,1,3,2,2,10,3,3,36,2,1,1,1,1,13,1,1,6,2,1,0,1,0,0,3
46,0,5,0,3,2,2,8,4,4,74,2,2,1,8,0,23,1,19,2,3,16,13,1,7,1,4
28,1,2,1,3,2,0,24,2,2,72,2,3,1,1,1,12,1,10,2,2,10,7,1,9,0,2
26,1,4,2,3,13,2,1,2,1,59,2,1,1,1,1,16,1,6,2,3,5,3,1,3,1,2
30,1,1,2,3,2,2,20,3,3,85,3,2,1,0,1,15,3,7,1,2,6,2,0,2,1,3
38,0,5,2,3,6,2,17,1,3,65,2,3,3,0,1,18,1,20,4,2,19,9,1,9,1,3
40,1,2,2,3,2,2,20,4,1,61,3,3,4,4,1,20,4,14,6,3,11,10,11,1,1,2
27,1,5,2,3,2,0,8,5,1,87,1,1,3,1,1,19,4,3,4,3,3,2,1,2,1,2
55,1,5,2,3,16,1,2,1,4,65,3,3,2,3,1,18,2,23,4,3,3,2,1,2,1,3
44,1,4,2,2,9,2,1,2,2,91,2,3,1,9,1,14,4,24,1,3,20,6,3,6,0,2
33,0,4,1,3,15,1,29,4,1,54,2,2,3,1,1,22,2,14,4,3,13,7,3,8,0,2
34,1,5,1,3,6,1,3,1,1,45,3,2,4,0,1,17,3,7,1,2,6,2,0,4,1,3
25,1,2,2,3,16,2,4,1,4,32,3,1,4,1,0,15,2,7,3,4,7,7,5,6,0,3
26,1,4,0,3,16,2,21,3,1,37,3,1,3,1,1,20,3,1,0,2,1,1,0,0,0,4
42,1,4,2,3,11,2,2,2,4,35,3,4,1,0,1,17,4,23,3,3,22,6,13,7,1,3
28,1,4,0,3,16,1,1,3,1,45,2,1,2,1,1,15,1,1,2,3,1,0,0,0,0,3
50,1,1,1,5,18,1,1,4,4,81,3,2,3,3,0,14,4,5,4,3,0,0,0,0,0,3
33,0,5,2,5,18,1,7,3,4,30,3,2,2,0,1,17,3,4,3,3,3,2,0,2,1,3
34,1,5,2,3,15,0,3,4,3,40,2,1,4,3,1,17,4,6,2,3,0,0,0,0,1,3
48,1,4,1,3,16,0,1,4,1,35,4,4,4,2,1,22,3,27,3,2,5,4,2,1,1,2
45,0,5,2,5,18,0,9,4,2,65,2,2,3,1,1,13,4,15,2,3,15,10,4,12,1,2
52,1,5,1,3,6,2,7,4,2,87,3,3,2,7,1,19,4,18,4,3,8,6,4,0,1,2
38,1,3,0,5,18,2,10,4,3,73,2,3,3,0,0,14,2,9,2,3,8,7,2,7,1,3
29,0,5,0,3,16,2,28,4,3,93,3,1,4,4,1,22,1,11,1,3,7,5,1,7,1,4
28,0,4,0,3,7,2,3,3,4,93,3,3,2,0,1,17,2,10,3,2,9,7,1,7,1,3
46,1,3,2,5,11,2,3,1,1,52,3,4,3,3,1,12,4,23,3,3,12,9,4,9,1,2
38,1,3,1,5,18,2,2,2,4,32,3,3,2,7,1,16,3,10,2,3,1,0,0,0,1,3
39,1,5,0,3,6,1,2,3,1,84,3,4,4,7,1,11,4,21,4,3,18,7,11,5,0,2
40,1,4,1,3,16,2,14,3,3,44,2,5,3,1,1,14,1,21,2,4,20,7,4,9,1,3
39,1,5,1,3,13,0,9,3,3,70,3,2,2,9,1,15,3,9,2,2,5,4,0,3,1,3
36,1,5,1,3,7,0,18,4,1,78,3,2,4,2,1,20,1,18,0,3,11,9,0,9,1,3
